doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
shopee-buyer-refund-time,data/shopee-policies/shopee-buyer-refund-time.md,Thời gian nhận tiền hoàn Shopee,https://help.shopee.vn/portal/4/article/189473,2026-09-20,not-stated,public-source
shopee-buyer-return-request,data/shopee-policies/shopee-buyer-return-request.md,Hướng dẫn người mua gửi yêu cầu trả hàng,https://help.shopee.vn/portal/4/article/79233,2026-09-20,not-stated,public-source
shopee-return-refund-policy,data/shopee-policies/shopee-return-refund-policy.md,Chính sách trả hàng và hoàn tiền Shopee,https://help.shopee.vn/portal/4/article/77251,2026-09-20,not-stated,public-source
tiktok-after-sale-dispute,data/tiktokshop-policies/tiktok-after-sale-dispute.md,Giải quyết tranh chấp sau bán hàng TikTok Shop,https://seller-vn.tiktok.com/university/essay?knowledge_id=6837793230161665,2026-09-20,2025-08-08,public-source
tiktok-return-refund-policy,data/tiktokshop-policies/tiktok-return-refund-policy.md,Chính sách hủy đơn trả hàng hoàn tiền TikTok Shop,https://seller-vn.tiktok.com/university/essay?knowledge_id=6837773789234946,2026-09-20,2026-06-10,public-source
tiktok-seller-fault-return-rate,data/tiktokshop-policies/tiktok-seller-fault-return-rate.md,Tỷ lệ trả hàng do lỗi người bán TikTok Shop,https://seller-vn.tiktok.com/university/essay?knowledge_id=89407391336193,2026-09-20,2026-08-19,public-source
